timestamp,predicted_demand
2015-01-01 00:00:00,102801.45
2015-01-01 01:00:00,90072.43
2015-01-01 02:00:00,83178.16
2015-01-01 03:00:00,83071.53
2015-01-01 04:00:00,84624.39
2015-01-01 05:00:00,90031.83
2015-01-01 06:00:00,103673.91
2015-01-01 07:00:00,120253.39
2015-01-01 08:00:00,137154.42
2015-01-01 09:00:00,150560.69
2015-01-01 10:00:00,160935.05
2015-01-01 11:00:00,165375.3
2015-01-01 12:00:00,168263.17
2015-01-01 13:00:00,167571.61
2015-01-01 14:00:00,167152.52
2015-01-01 15:00:00,167453.36
2015-01-01 16:00:00,172435.36
2015-01-01 17:00:00,175561.94
2015-01-01 18:00:00,177838.3
2015-01-01 19:00:00,179013.25
2015-01-01 20:00:00,173613.3
2015-01-01 21:00:00,161953.7
2015-01-01 22:00:00,147004.03
2015-01-01 23:00:00,121615.58
